Thread, tiempo obtener, tiempo registar
4,57700 	,2867900
5,1300 	,2933000
2,546300 	,3531400
3,465900 	,3958200
1,1223900 	,4427200
3,1400 	,634400
2,2100 	,1410600
5,900 	,2174000
4,2000 	,2757300
5,2200 	,659500
2,1500 	,1390700
3,1500 	,2165600
1,3100 	,2914000
3,1800 	,692200
2,2200 	,1343100
5,1600 	,2004700
4,2000 	,2748600
5,1800 	,625600
2,1100 	,1286400
3,1700 	,2088700
1,2000 	,2884200
3,2400 	,1132400
2,2600 	,2080600
5,1800 	,2873700
4,1700 	,3503700
5,1900 	,578100
2,1600 	,1258600
3,4400 	,1943600
1,6600 	,3178300
3,2300 	,587800
2,1500 	,1264900
5,1400 	,1945700
4,1300 	,2668700
5,1600 	,667100
2,1400 	,1334400
3,1600 	,1983400
1,2200 	,2691200
3,1500 	,663000
2,1400 	,1336400
5,1900 	,2076500
4,1700 	,2760100
5,2200 	,546700
2,2100 	,1401600
1,1600 	,2414100
2,1800 	,695300
5,1800 	,1398500
4,1400 	,2211500
5,1300 	,581300
2,1900 	,1270400
1,2000 	,2193100
2,1700 	,675100
5,1400 	,1292100
4,1700 	,1934900
5,1300 	,553100
3,4905600 	,985500
2,1400 	,1444000
1,1800 	,2098500
2,1500 	,646800
3,1300 	,1244600
5,1500 	,1819400
4,1700 	,2462300
5,1400 	,636900
3,1500 	,1252200
2,1600 	,1871600
1,1600 	,2651500
2,1500 	,809700
3,1400 	,1539800
5,2000 	,2162500
4,1700 	,2956100
5,1900 	,658700
3,1200 	,1387500
2,1700 	,2013000
1,2400 	,2734200
2,1300 	,614400
3,1800 	,1310500
5,1700 	,2050000
4,1300 	,2741700
3,2000 	,1013500
1,1500 	,2018300
3,1500 	,588700
4,1700 	,1300400
3,1400 	,591800
1,1200 	,1359400
3,1500 	,716300
4,2500 	,1322200
1,2100 	,987300
4,1800 	,674100
1,1500 	,672900
4,1700 	,605900
1,1600 	,604800
4,1600 	,618400
1,1700 	,593100
4,1500 	,618100
1,1500 	,634000
4,1600 	,639100
1,1400 	,619800
4,1400 	,605200
1,1400 	,597100
4,2000 	,603600
1,2000 	,668800
