Thread, Obtain Time, Register Time 
4,17262200 	,97382400
3,59545900 	,62309900
1,12274100 	,103424400
5,16914700 	,120057200
5,500 	,612600
2,18937100 	,121416100
2,700 	,813900
2,600 	,776200
5,400 	,3148200
1,400 	,8272500
3,700 	,9371200
3,3900 	,678000
5,600 	,5609000
4,600 	,13040500
4,800 	,11785700
2,500 	,40285000
4,500 	,20863100
1,500 	,37524100
3,500 	,36202800
5,500 	,36136100
2,600 	,3697300
5,600 	,2944700
3,300 	,3931900
1,300 	,5752800
4,1000 	,6385900
4,500 	,538900
3,800 	,1085500
5,500 	,4300200
1,400 	,1751800
2,600 	,7230700
1,200 	,1838400
3,200 	,976400
5,500 	,3304100
4,500 	,5786300
5,400 	,1381300
4,600 	,763300
4,600 	,1266800
3,500 	,4564200
2,200 	,5588500
1,2500 	,6450700
3,4300 	,987600
1,600 	,1014100
4,600 	,4153900
5,500 	,6633500
2,1000 	,2099100
5,600 	,380600
4,500 	,1198500
4,400 	,357800
4,500 	,320900
1,500 	,3147700
3,500 	,4769300
3,500 	,362800
3,600 	,292800
3,500 	,281200
3,400 	,282400
3,500 	,363300
3,500 	,413700
1,500 	,3446800
1,600 	,413800
4,1000 	,4976800
4,600 	,1570400
4,800 	,573000
5,400 	,9095200
2,500 	,9781100
4,500 	,2140500
5,600 	,1688600
1,700 	,5283500
1,1100 	,294800
3,500 	,6925100
3,600 	,335400
3,600 	,326200
3,400 	,381000
1,500 	,2114800
5,400 	,3096400
4,500 	,3617700
4,600 	,348100
4,700 	,473800
2,400 	,6967700
5,400 	,2959900
5,400 	,335200
5,500 	,293900
5,600 	,268500
5,36900 	,273500
5,600 	,555500
1,700 	,6024400
1,600 	,385600
1,500 	,362600
1,500 	,578000
2,600 	,5216800
2,500 	,899300
1,400 	,1645500
1,700 	,680500
2,500 	,1974400
2,600 	,337600
2,400 	,761600
2,600 	,449800
2,500 	,519100
2,600 	,419700
2,700 	,558600
2,600 	,456000
